Hidden,Layers,Learning Rate,Keep Probability,Epochs,Batch Size,Average Score
10,2,0.0001,0.9,45,25,0.638423961
50,3,0.001,0.9,65,50,0.638343215
25,1,0.001,0.75,65,100,0.637962557
50,2,0.0001,0.9,45,25,0.637571325
10,2,0.001,0.9,45,50,0.637289677
25,3,0.0001,0.9,45,50,0.637166636
25,3,0.0001,0.5,65,25,0.636898445
25,1,0.001,0.75,45,50,0.636807126
10,3,0.0001,0.9,65,25,0.636327458
50,1,0.0001,0.75,45,25,0.636086183
50,2,0.0001,0.5,45,25,0.636086183
25,1,0.001,0.9,65,50,0.635981405
25,1,0.0001,0.9,65,50,0.635844907
25,2,0.0001,0.75,45,25,0.635807418
25,3,0.001,0.75,25,100,0.635678609
50,2,0.0001,0.9,65,100,0.635617089
10,3,0.001,0.5,25,100,0.635172027
25,2,0.0001,0.9,65,100,0.634995155
10,3,0.0001,0.9,45,25,0.634944209
50,3,0.0001,0.9,25,25,0.63475388
50,2,0.0001,0.75,45,50,0.634702933
25,3,0.001,0.75,45,50,0.634584698
50,2,0.001,0.75,25,25,0.634343423
10,2,0.0001,0.75,65,25,0.634257871
10,2,0.001,0.75,65,25,0.633758978
50,1,0.0001,0.75,25,25,0.633014004
50,2,0.001,0.75,65,50,0.632742929
10,3,0.001,0.75,45,100,0.632147911
10,2,0.001,0.9,65,50,0.631930666
10,2,0.0001,0.5,45,25,0.63187203
25,2,0.001,0.9,45,25,0.631777826
50,2,0.0001,0.9,45,50,0.631654786
50,3,0.001,0.75,45,25,0.631536551
50,1,0.001,0.75,25,50,0.630826182
10,3,0.001,0.9,65,25,0.630812724
50,1,0.0001,0.75,45,50,0.63074063
25,3,0.001,0.9,45,50,0.630673342
50,1,0.0001,0.9,25,25,0.630258078
50,2,0.001,0.9,45,100,0.630241737
25,3,0.001,0.5,65,25,0.63003795
25,1,0.0001,0.9,45,50,0.630016803
50,3,0.001,0.9,25,50,0.629759186
50,3,0.001,0.5,65,25,0.629555399
25,1,0.0001,0.5,65,25,0.629520794
10,2,0.001,0.75,25,25,0.629341039
25,3,0.0001,0.75,65,50,0.629242029
25,1,0.0001,0.75,45,25,0.629177625
25,1,0.0001,0.5,45,25,0.629102647
50,3,0.0001,0.5,45,50,0.629014211
25,1,0.001,0.9,45,100,0.628654701
50,3,0.001,0.75,65,25,0.628349021
25,2,0.001,0.9,25,50,0.628274043
50,3,0.0001,0.5,65,50,0.628124087
25,3,0.0001,0.5,65,100,0.627654993
25,2,0.001,0.9,45,50,0.627485812
50,3,0.0001,0.5,45,100,0.626856188
50,2,0.0001,0.9,25,25,0.626537051
10,3,0.001,0.5,65,25,0.626418816
50,1,0.001,0.5,65,25,0.626126594
50,1,0.001,0.75,65,50,0.625936265
50,2,0.001,0.9,25,25,0.625796882
10,1,0.001,0.75,45,50,0.625467171
50,2,0.0001,0.75,65,100,0.625330673
10,2,0.001,0.9,45,25,0.625263385
25,2,0.0001,0.75,45,100,0.624963472
50,1,0.001,0.75,65,100,0.624780833
10,3,0.001,0.9,45,50,0.624743344
10,2,0.001,0.5,25,100,0.624226188
50,1,0.0001,0.5,25,25,0.623896476
25,2,0.0001,0.9,65,25,0.623767668
25,2,0.0001,0.5,45,50,0.623743636
25,2,0.001,0.75,65,25,0.623713837
25,3,0.0001,0.5,45,50,0.623706147
25,3,0.0001,0.9,45,25,0.623679232
50,3,0.001,0.9,45,100,0.623384126
25,1,0.001,0.9,25,100,0.623360095
10,3,0.001,0.75,45,25,0.62333318
10,1,0.0001,0.5,45,25,0.62301981
25,2,0.001,0.9,45,100,0.623003468
50,3,0.0001,0.9,65,50,0.622992894
50,1,0.0001,0.9,25,50,0.622982321
10,1,0.0001,0.9,65,25,0.62286697
10,3,0.001,0.9,65,100,0.622813139
25,3,0.001,0.9,65,25,0.622748735
50,2,0.001,0.75,65,25,0.622748735
25,2,0.001,0.9,65,100,0.622609353
25,1,0.001,0.9,25,50,0.622432481
50,3,0.001,0.9,45,25,0.622075855
25,2,0.0001,0.5,65,100,0.621775942
50,1,0.0001,0.5,65,50,0.621609645
50,1,0.001,0.75,45,25,0.621301081
25,3,0.0001,0.75,25,25,0.621242445
25,3,0.0001,0.5,45,25,0.620695489
50,1,0.001,0.9,65,25,0.620577254
50,2,0.001,0.5,65,25,0.620285032
50,1,0.001,0.9,25,50,0.620057214
10,3,0.0001,0.75,65,50,0.619958205
50,1,0.0001,0.75,45,100,0.619947631
25,2,0.0001,0.75,65,100,0.619845737
25,2,0.0001,0.5,45,25,0.619591004
50,2,0.001,0.9,65,50,0.619370876
50,2,0.0001,0.5,25,25,0.619020017
10,1,0.001,0.75,65,100,0.618660507
50,2,0.001,0.75,45,25,0.618405774
25,1,0.001,0.9,65,25,0.618113551
25,1,0.0001,0.75,65,50,0.618092404
50,3,0.0001,0.9,45,25,0.616910057
25,1,0.0001,0.75,45,100,0.616811048
10,3,0.001,0.9,45,25,0.616526515
10,1,0.0001,0.9,45,25,0.616403474
25,2,0.0001,0.75,65,50,0.616301581
10,2,0.001,0.9,65,25,0.616234293
50,3,0.0001,0.75,45,50,0.616009359
25,2,0.0001,0.75,45,50,0.615438372
25,2,0.0001,0.75,25,50,0.615071172
10,1,0.001,0.9,65,25,0.614253141
50,2,0.001,0.9,45,25,0.614253141
10,1,0.0001,0.5,65,50,0.614092611
10,1,0.001,0.75,65,50,0.613872483
10,3,0.001,0.5,45,25,0.613872483
25,1,0.001,0.9,65,100,0.612958328
25,3,0.001,0.75,65,100,0.612666105
10,2,0.0001,0.75,65,50,0.6126315
25,2,0.0001,0.9,65,50,0.6126315
25,2,0.001,0.9,65,25,0.61227199
10,1,0.001,0.75,45,100,0.612108576
10,3,0.0001,0.5,45,50,0.611972077
10,3,0.0001,0.5,45,25,0.611642366
50,2,0.0001,0.5,65,100,0.610956028
50,3,0.0001,0.5,25,25,0.610905082
50,2,0.001,0.9,65,25,0.610824336
50,1,1.00E-05,0.9,45,25,0.610486935
10,1,0.001,0.9,45,50,0.610355242
10,3,0.001,0.75,25,50,0.609950553
10,1,0.001,0.75,45,25,0.609719851
25,2,0.001,0.9,25,100,0.608730717
25,3,0.0001,0.75,65,100,0.608580761
25,2,0.0001,0.9,45,50,0.607731009
50,3,0.001,0.9,25,25,0.605808494
50,2,0.001,0.9,65,100,0.605567219
50,2,0.001,0.75,45,50,0.605274997
50,2,0.0001,0.75,25,100,0.604580969
10,3,0.001,0.75,65,25,0.604017672
50,2,0.0001,0.9,45,100,0.604009982
50,3,0.0001,0.9,45,100,0.603082368
50,3,0.0001,0.5,65,100,0.602688253
50,1,0.0001,0.9,65,100,0.60254887
50,1,0.0001,0.9,45,100,0.602168212
10,1,0.001,0.9,45,100,0.602012489
50,1,0.0001,0.9,45,50,0.60187599
25,1,0.001,0.75,65,25,0.601553969
50,2,0.0001,0.75,45,100,0.600669612
50,3,0.0001,0.75,45,100,0.600669612
10,3,0.0001,0.75,45,25,0.600238007
50,3,0.001,0.9,65,25,0.599814093
50,1,0.0001,0.75,25,50,0.599704509
10,1,1.00E-05,0.9,65,25,0.599310394
10,2,0.0001,0.5,65,25,0.599171012
10,3,0.0001,0.9,25,50,0.597672411
25,1,0.0001,0.9,25,25,0.597634922
50,2,0.0001,0.5,45,50,0.597482082
25,3,0.0001,0.5,25,25,0.597291753
25,3,0.0001,0.75,45,100,0.59580661
10,2,0.0001,0.75,25,50,0.595364432
50,1,0.001,0.9,65,100,0.595280803
25,3,0.0001,0.5,65,50,0.594967433
50,1,0.0001,0.5,25,50,0.593672619
10,1,0.001,0.9,25,50,0.593669735
25,1,0.0001,0.9,65,100,0.593621672
50,1,0.0001,0.5,45,100,0.592999739
10,1,1.00E-05,0.75,65,25,0.591779903
25,3,0.0001,0.5,45,100,0.59173184
25,3,0.0001,0.9,65,50,0.591436734
25,3,0.0001,0.9,25,50,0.590828258
10,2,0.0001,0.75,65,100,0.590573525
10,3,0.0001,0.9,65,50,0.589367147
50,3,0.0001,0.5,25,100,0.588758671
10,1,0.001,0.9,65,50,0.588525085
50,3,0.001,0.9,65,100,0.588474138
25,3,0.0001,0.9,25,25,0.588452991
50,3,0.0001,0.5,25,50,0.588021386
10,1,0.0001,0.5,45,50,0.587983897
50,2,0.0001,0.5,25,50,0.58793295
50,3,0.0001,0.75,65,100,0.58726007
25,2,0.0001,0.5,25,50,0.586828466
10,3,1.00E-05,0.75,65,25,0.585431758
10,1,0.001,0.75,65,25,0.585286609
25,3,0.0001,0.9,65,100,0.58478291
25,1,0.0001,0.5,45,50,0.583970647
10,1,0.0001,0.5,65,25,0.583906243
10,1,0.0001,0.9,65,50,0.583539042
25,2,0.0001,0.5,25,25,0.583209331
25,2,0.0001,0.9,45,100,0.582930566
10,3,0.0001,0.5,65,100,0.580236162
10,3,0.0001,0.5,65,50,0.579512335
10,3,0.0001,0.75,45,50,0.578649126
25,3,0.0001,0.9,45,100,0.578383819
10,1,0.0001,0.75,45,25,0.577748427
50,3,0.0001,0.75,25,25,0.577544641
10,3,0.0001,0.5,45,100,0.577289908
10,2,0.0001,0.5,45,100,0.576922707
25,1,0.0001,0.9,45,100,0.576592996
10,1,0.0001,0.75,65,50,0.576300774
10,1,1.00E-05,0.9,65,100,0.576185423
10,3,0.0001,0.75,65,100,0.576123902
10,3,0.0001,0.9,65,100,0.575995094
50,2,1.00E-05,0.9,45,25,0.575426991
25,1,0.0001,0.75,45,50,0.574357111
10,2,0.0001,0.9,45,100,0.573558306
10,2,0.0001,0.75,25,25,0.57331703
10,3,0.0001,0.5,25,50,0.571601186
25,1,0.0001,0.5,25,25,0.57135991
25,1,1.00E-05,0.75,25,25,0.57104654
50,2,0.0001,0.75,25,50,0.570561105
10,1,1.00E-05,0.9,65,50,0.570394808
50,3,0.0001,0.9,25,100,0.570180447
25,1,0.0001,0.75,25,25,0.569925714
25,1,1.00E-05,0.9,65,50,0.56960946
10,1,1.00E-05,0.9,25,25,0.568464603
10,1,1.00E-05,0.75,25,25,0.567740776
10,1,0.0001,0.9,65,100,0.567424522
50,3,1.00E-05,0.75,65,100,0.567309171
25,3,0.0001,0.5,25,50,0.567244767
10,2,0.0001,0.9,25,50,0.566928513
50,1,0.0001,0.9,25,100,0.566687238
10,3,1.00E-05,0.9,25,50,0.566625717
25,3,0.0001,0.5,25,100,0.566547855
10,2,0.0001,0.9,65,100,0.565824028
50,1,0.0001,0.75,65,100,0.565620242
10,1,1.00E-05,0.5,25,50,0.56532802
25,1,1.00E-05,0.5,45,25,0.56532802
25,2,1.00E-05,0.5,65,25,0.565239584
25,1,1.00E-05,0.75,45,25,0.564111068
50,1,1.00E-05,0.9,65,25,0.563995717
25,1,1.00E-05,0.75,25,50,0.563896707
25,3,0.0001,0.75,25,50,0.563754441
10,1,1.00E-05,0.9,45,50,0.563346868
25,1,0.0001,0.9,25,100,0.56327189
50,2,1.00E-05,0.9,65,25,0.561926129
50,2,1.00E-05,0.75,25,100,0.560403497
50,3,0.0001,0.9,25,50,0.560363125
25,3,1.00E-05,0.9,25,25,0.559971893
10,2,1.00E-05,0.5,45,25,0.559693128
25,3,1.00E-05,0.5,65,25,0.559550862
10,3,0.0001,0.75,25,50,0.559041396
10,2,0.0001,0.9,25,25,0.55741687
10,1,0.0001,0.75,25,50,0.557341892
10,3,1.00E-05,0.5,45,25,0.556950661
25,2,0.0001,0.9,25,25,0.556794937
10,2,1.00E-05,0.75,25,50,0.556655555
25,3,0.0001,0.75,25,100,0.556502715
10,3,0.0001,0.75,65,25,0.556095141
10,2,0.0001,0.75,25,100,0.556033621
25,1,1.00E-05,0.5,65,100,0.555792345
50,2,1.00E-05,0.5,25,100,0.555714483
50,2,1.00E-05,0.75,65,50,0.555591443
50,1,1.00E-05,0.75,65,100,0.554942594
10,2,0.0001,0.75,45,100,0.554762839
10,1,0.0001,0.75,45,50,0.554293745
25,2,1.00E-05,0.9,65,50,0.553658354
10,1,0.0001,0.75,25,100,0.55266922
10,2,0.0001,0.75,45,25,0.55236354
50,3,1.00E-05,0.75,65,25,0.552248189
10,1,0.0001,0.9,25,50,0.550966833
50,2,0.0001,0.5,45,100,0.550508313
25,1,0.0001,0.9,25,50,0.550355473
50,2,0.0001,0.9,25,100,0.550331442
10,2,0.0001,0.5,65,100,0.550127655
25,1,1.00E-05,0.9,45,25,0.549291361
25,3,1.00E-05,0.9,65,100,0.549250988
10,2,0.0001,0.9,65,50,0.549111606
25,2,0.0001,0.9,25,100,0.548972224
10,1,0.0001,0.5,25,100,0.548326258
25,1,1.00E-05,0.9,25,25,0.547881196
50,2,0.0001,0.5,25,100,0.547106423
10,3,0.0001,0.9,25,100,0.546508521
10,2,1.00E-05,0.9,65,100,0.546460458
10,1,1.00E-05,0.9,25,100,0.546403744
50,3,1.00E-05,0.5,65,100,0.546372022
50,3,1.00E-05,0.9,45,25,0.546154778
50,3,0.0001,0.75,25,100,0.545645311
50,2,1.00E-05,0.9,65,50,0.545570333
25,2,0.0001,0.9,25,50,0.545404036
50,1,1.00E-05,0.9,25,25,0.544873422
25,3,1.00E-05,0.5,45,25,0.544007329
10,1,1.00E-05,0.5,65,100,0.543749712
50,1,1.00E-05,0.75,65,25,0.543640128
25,3,1.00E-05,0.5,25,25,0.543275812
50,1,1.00E-05,0.75,25,25,0.54283844
50,1,1.00E-05,0.9,65,100,0.542328973
50,3,1.00E-05,0.5,45,50,0.542154985
25,3,1.00E-05,0.9,45,50,0.541739722
50,1,1.00E-05,0.5,25,50,0.541339839
25,2,0.0001,0.5,25,100,0.541237946
25,1,0.0001,0.75,25,50,0.540908235
50,2,1.00E-05,0.5,45,100,0.540860172
10,1,1.00E-05,0.9,45,25,0.540715022
50,3,0.0001,0.75,25,50,0.540527577
10,2,0.0001,0.5,25,25,0.540463172
50,2,1.00E-05,0.5,65,100,0.540313216
10,3,1.00E-05,0.75,25,100,0.540194981
50,3,1.00E-05,0.75,25,100,0.539940248
10,3,1.00E-05,0.9,65,50,0.539763377
50,3,1.00E-05,0.75,25,25,0.53971243
10,1,0.0001,0.5,25,25,0.539181816
50,2,1.00E-05,0.5,25,50,0.538892478
50,2,1.00E-05,0.75,65,100,0.538549309
50,1,0.0001,0.5,25,100,0.538457989
50,1,1.00E-05,0.5,25,25,0.537873545
10,2,1.00E-05,0.75,45,100,0.537621695
10,3,0.0001,0.9,25,25,0.537326589
10,2,0.0001,0.5,45,50,0.536908442
25,2,0.0001,0.5,45,100,0.536908442
10,3,1.00E-05,0.5,45,100,0.536683508
25,1,1.00E-05,0.5,25,50,0.536565273
25,1,0.0001,0.5,45,100,0.535664575
50,3,1.00E-05,0.9,25,50,0.535522309
50,2,1.00E-05,0.75,25,50,0.535042641
25,3,1.00E-05,0.75,65,50,0.53486577
10,1,0.0001,0.9,25,100,0.534216921
10,3,1.00E-05,0.5,65,100,0.534155401
10,1,0.0001,0.5,45,100,0.533683423
50,1,0.0001,0.75,25,100,0.533340254
25,2,1.00E-05,0.5,45,50,0.532999969
10,3,1.00E-05,0.9,25,25,0.53245013
10,2,1.00E-05,0.75,65,25,0.532160791
25,2,1.00E-05,0.75,45,25,0.532147334
10,2,0.0001,0.9,45,50,0.531294698
25,3,1.00E-05,0.75,65,100,0.53106688
50,2,1.00E-05,0.9,25,100,0.530900583
10,3,1.00E-05,0.75,45,100,0.530471862
50,2,1.00E-05,0.75,45,25,0.530458404
10,2,1.00E-05,0.5,45,100,0.529989311
50,3,1.00E-05,0.75,45,100,0.529598079
10,3,1.00E-05,0.9,45,50,0.529452929
